Events,CategoryID,Date,Days
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/9/2018,Friday
Campus Kitchen Friday Delivery,Service,11/9/2018,Friday
Pylon Dedication Ceremony,Corps,11/9/2018,Friday
Classics Club Meeting,Club,11/9/2018,Friday
"2018 Hummel Lecture: ""The Athenian Agora: Archaeology of Democracy""",Special Event,11/9/2018,Friday
"Angels in America, Part One: Millennium Approaches, by Tony Kushner",Music/Theatre/Dance,11/9/2018,Friday
GobblerNights Around the World,Special Event,11/9/2018,Friday
Living and Learning Abroad:  Study Abroad Experiences of CLAHS Students,Academic,11/10/2018,Saturday
Ellen Cheever in Her Own Words,Academic,11/10/2018,Saturday
"Art Exhibit: Walt Hewes: 40 Years in Pastel, Pencil and Watercolor ",Arts,11/10/2018,Saturday
"Student Recital: Joseph Hart, piano ",Music/Theatre/Dance,11/10/2018,Saturday
A Night of Percussion: Escape Ten Duo and more!,Music/Theatre/Dance,11/10/2018,Saturday
